Lee Schmidt,NULL,NULL,NULL,18,NULL,NULL,NULL,NULL,18
Skimp Hersey,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18
Curt Foss,NULL,NULL,NULL,NULL,NULL,NULL,19,NULL,19
Jack Russell,NULL,NULL,NULL,42,7,NULL,8,NULL,19
Jim Carrusso,NULL,NULL,19,NULL,NULL,NULL,20,NULL,19.5
Bob Smith,19,NULL,21,NULL,NULL,NULL,NULL,NULL,20
Ken Marriott,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL,20
B.E. Renfro,24,NULL,17,NULL,NULL,NULL,NULL,NULL,20.5
Ed Tyson,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL,21
Louise Smith,NULL,20,27,16,NULL,NULL,NULL,NULL,21
Ralph Zrimsek,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,21
John Riggi,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,22
Ken Schroeder,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL,22
Jim Paschal,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23
Tommy Coates,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL,23
Jimmie Lewallen,16,NULL,25,30,NULL,NULL,NULL,NULL,23.7
Sam Marshall,NULL,24,NULL,NULL,NULL,NULL,NULL,NULL,24
Wally Campbell,NULL,NULL,NULL,24,NULL,NULL,NULL,NULL,24
Harvey Hilligas,NULL,NULL,NULL,25,NULL,NULL,NULL,NULL,25
Fred Johnson,25,26,NULL,NULL,NULL,NULL,NULL,NULL,25.5
George Mantooth,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26
Ben Cannaziaro,NULL,NULL,NULL,27,NULL,NULL,NULL,NULL,27
Benny Georgeson,NULL,27,NULL,NULL,NULL,NULL,NULL,NULL,27
Ethel Mobley,NULL,11,NULL,44,NULL,NULL,NULL,NULL,27.5
Jack O'Brien,NULL,NULL,NULL,38,NULL,NULL,17,NULL,27.5
Buckshot Morris,NULL,21,NULL,35,NULL,NULL,NULL,NULL,28
Len Brown,NULL,NULL,NULL,28,NULL,NULL,NULL,NULL,28
Pee Wee Martin,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28
Pat Kirkwood,NULL,NULL,NULL,29,NULL,NULL,NULL,NULL,29
Felix Wilkes,27,NULL,24,41,NULL,NULL,NULL,NULL,30.7
Clarence Benton,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31
Jim Rathmann,NULL,NULL,NULL,32,NULL,NULL,NULL,NULL,32
Pepper Cunningham,NULL,NULL,NULL,33,NULL,NULL,NULL,NULL,33
John Belgard,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL,34
Johnny Rogers,NULL,NULL,NULL,36,NULL,NULL,NULL,NULL,36
Chick DiNatale,NULL,NULL,NULL,37,NULL,NULL,NULL,NULL,37
Tony Genove,NULL,NULL,NULL,39,NULL,NULL,NULL,NULL,39
Jim Delaney,NULL,NULL,NULL,40,NULL,NULL,NULL,NULL,40
Walter Minx,NULL,NULL,NULL,43,NULL,NULL,NULL,NULL,43
